ESTAR: Stopping Powers and Range Tables for Electrons: ARGON d (g/cm3);
1.662E-03

  T(MeV)  Range(g/cm2);

1.000E-02 3.921E-04 
1.250E-02 5.740E-04 
1.500E-02 7.849E-04 
1.750E-02 1.024E-03 
2.000E-02 1.289E-03 
2.500E-02 1.896E-03 
3.000E-02 2.599E-03 
3.500E-02 3.394E-03 
4.000E-02 4.276E-03 
4.500E-02 5.240E-03 
5.000E-02 6.283E-03 
5.500E-02 7.402E-03 
6.000E-02 8.594E-03 
7.000E-02 1.118E-02 
8.000E-02 1.403E-02 
9.000E-02 1.712E-02 
1.000E-01 2.042E-02 
1.250E-01 2.958E-02 
1.500E-01 3.985E-02 
1.750E-01 5.106E-02 
2.000E-01 6.309E-02 
2.500E-01 8.920E-02 
3.000E-01 1.175E-01 
3.500E-01 1.474E-01 
4.000E-01 1.787E-01 
4.500E-01 2.109E-01 
5.000E-01 2.440E-01 
5.500E-01 2.777E-01 
6.000E-01 3.119E-01 
7.000E-01 3.814E-01 
8.000E-01 4.518E-01 
9.000E-01 5.227E-01 
1.000E+00 5.939E-01 
1.250E+00 7.718E-01 
1.500E+00 9.483E-01 
1.750E+00 1.123E+00 
2.000E+00 1.295E+00 
2.500E+00 1.632E+00 
3.000E+00 1.959E+00 
3.500E+00 2.278E+00 
4.000E+00 2.589E+00 
4.500E+00 2.892E+00 
5.000E+00 3.189E+00 
5.500E+00 3.479E+00 
6.000E+00 3.763E+00 
7.000E+00 4.315E+00 
8.000E+00 4.848E+00 
9.000E+00 5.363E+00 
1.000E+01 5.861E+00 
1.250E+01 7.045E+00 
1.500E+01 8.151E+00 
1.750E+01 9.192E+00 
2.000E+01 1.018E+01 
2.500E+01 1.200E+01 
3.000E+01 1.365E+01 
3.500E+01 1.518E+01 
4.000E+01 1.659E+01 
4.500E+01 1.790E+01 
5.000E+01 1.913E+01 
5.500E+01 2.029E+01 
6.000E+01 2.139E+01 
7.000E+01 2.341E+01 
8.000E+01 2.525E+01 
9.000E+01 2.692E+01 
1.000E+02 2.847E+01 
1.250E+02 3.188E+01 
1.500E+02 3.479E+01 
1.750E+02 3.732E+01 
2.000E+02 3.957E+01 
2.500E+02 4.341E+01 
3.000E+02 4.663E+01 
3.500E+02 4.940E+01 
4.000E+02 5.182E+01 
4.500E+02 5.398E+01 
5.000E+02 5.592E+01 
5.500E+02 5.769E+01 
6.000E+02 5.932E+01 
7.000E+02 6.221E+01 
8.000E+02 6.473E+01 
9.000E+02 6.696E+01 
1.000E+03 6.897E+01 
